index,name,activity,celebrity_indice,phone_number,web_site,adresse
1,Carrefour Abattoir,Relais routier,"3,7 (731)",67 00 00 00,N/A,9F9P+H28
2,Abattoirde Cotonou,Supermarché,"4,0 (47)",https://www.google.com/maps/place/Abattoirde+Cotonou/data=!4m7!3m6!1s0x103cab8e0db1a471:0x188d24773cda8ff9!8m2!3d6.3696248!4d2.4860367!16s%2Fg%2F11h1g6kfm9!19sChIJcaSxDY6rPBAR-Y_aPHckjRg?authuser=0&hl=fr&rclk=1,N/A,"06BP1166, Cotonou"
3,Pharmacie de l'abattoir,Pharmacie,"4,3 (13)",21 33 16 69,N/A,"9F9M+CQ6, Rue 1361"
4,marché des abattoirs,Épicerie,N/A N/A,https://www.google.com/maps/place/march%C3%A9+des+abattoirs/data=!4m7!3m6!1s0x103cabfb9b8fdc65:0x76fec6261e3f7a72!8m2!3d6.3683998!4d2.4850378!16s%2Fg%2F11tdlbtpc9!19sChIJZdyPm_urPBARcno_HibG_nY?authuser=0&hl=fr&rclk=1,N/A,"Pk6, abattoir"
5,Abattoir Centre de Santé,Clinique,N/A N/A,https://www.google.com/maps/place/Abattoir+Centre+de+Sant%C3%A9/data=!4m7!3m6!1s0x1023552d5e1b8d59:0x4a4572cc93410114!8m2!3d6.3697498!4d2.4591208!16s%2Fg%2F11trzx1gr6!19sChIJWY0bXi1VIxARFAFBk8xyRUo?authuser=0&hl=fr&rclk=1,N/A,9F95+VJX
6,HECM abattoir,Établissement d'enseignement supérieur,N/A N/A,https://www.google.com/maps/place/HECM+abattoir/data=!4m7!3m6!1s0x103cab63bee0e1cf:0x156fa804756d78e3!8m2!3d6.3687007!4d2.4827174!16s%2Fg%2F11lh3dvckf!19sChIJz-HgvmOrPBAR43htdQSobxU?authuser=0&hl=fr&rclk=1,N/A,RNIE1
7,HECM ABATTOIR NOUVEAU SIEGE,Établissement d'enseignement secondaire,N/A N/A,https://www.google.com/maps/place/HECM+ABATTOIR+NOUVEAU+SIEGE/data=!4m7!3m6!1s0x1023555c6f95b26f:0xb07063a0307297e7!8m2!3d6.3702928!4d2.3912362!16s%2Fg%2F11khz4df4_!19sChIJb7KVb1xVIxAR55dyMKBjcLA?authuser=0&hl=fr&rclk=1,N/A,Akpakpa
8,Mosque central abattoir,Mosquée,N/A N/A,https://www.google.com/maps/place/Mosque+central+abattoir/data=!4m7!3m6!1s0x103cabf14709f45b:0x33d70c2298b663ef!8m2!3d6.3689013!4d2.4850814!16s%2Fg%2F11s894pk1h!19sChIJW_QJR_GrPBAR72O2mCIM1zM?authuser=0&hl=fr&rclk=1,N/A,Pk6 Carrefour abattoir
9,Pharmacie de I'Abattoir,Hôpital,"4,2 (10)",https://www.google.com/maps/place/Pharmacie+de+I%27Abattoir/data=!4m7!3m6!1s0x103caafab1870ddf:0x2d3f022ca049ad7b!8m2!3d6.3690373!4d2.4904422!16s%2Fg%2F1vrtwzsn!19sChIJ3w2HsfqqPBARe61JoCwCPy0?authuser=0&hl=fr&rclk=1,N/A,N/A
10,MTN Connect Abattoir,Grossiste,"4,7 (3)",97 97 00 01,N/A,"01BP7256 COTONOU - PK6, RNIE1"
11,Chez donner,Abattoir,N/A N/A,https://www.google.com/maps/place/Chez+donner/data=!4m7!3m6!1s0x103cab39c193d9c7:0x49cff0216667c5de!8m2!3d6.3749832!4d2.4713732!16s%2Fg%2F11jpx1r8dy!19sChIJx9mTwTmrPBAR3sVnZiHwz0k?authuser=0&hl=fr&rclk=1,N/A,"9FFC+XGX, Rue 1314"
